customer_id,age,tenure_months,contract_type,internet_service,tech_support,payment_method,monthly_charges,total_charges,churn
CUST-0041,61,26,One year,No,No internet service,Bank transfer,22.98,486.49,1
CUST-0042,72,36,Month-to-month,Fiber optic,No,Electronic check,84.53,2973.1,1
CUST-0043,69,1,One year,No,No internet service,Bank transfer,25.28,18.0,0
CUST-0044,74,8,One year,No,Yes,Credit card,29.17,175.21,0
CUST-0045,20,52,Two year,DSL,No,Electronic check,41.57,2140.97,0
CUST-0046,54,47,One year,No,Yes,Mailed check,29.95,1409.27,0
CUST-0047,68,56,Two year,Fiber optic,No internet service,Electronic check,109.05,6179.91,0
CUST-0048,24,14,Month-to-month,Fiber optic,No internet service,Bank transfer,101.84,1411.24,1
CUST-0049,38,28,Month-to-month,Fiber optic,No internet service,Mailed check,74.78,2147.47,1
CUST-0050,26,2,Month-to-month,No,No internet service,Mailed check,27.85,127.14,0
CUST-0051,56,26,One year,DSL,Yes,Mailed check,65.36,1771.08,0
CUST-0052,35,14,Two year,Fiber optic,No,Credit card,104.55,1477.94,1
CUST-0053,21,59,Month-to-month,Fiber optic,Yes,Electronic check,75.13,4334.51,0
CUST-0054,42,56,Two year,Fiber optic,Yes,Electronic check,98.98,5565.92,0
CUST-0055,31,7,Month-to-month,Fiber optic,Yes,Credit card,107.54,805.2,1
CUST-0056,67,3,Two year,DSL,No,Bank transfer,46.35,135.0,0
CUST-0057,26,23,Month-to-month,DSL,,Credit card,63.78,1554.17,0
CUST-0058,43,18,Month-to-month,Fiber optic,Yes,Bank transfer,90.63,1674.33,0
CUST-0059,70,38,Month-to-month,No,,Credit card,22.26,874.29,0
CUST-0060,19,15,Month-to-month,DSL,Yes,Mailed check,69.96,1103.72,0
CUST-0061,37,64,Month-to-month,DSL,No internet service,Bank transfer,40.74,2624.03,0
CUST-0062,45,28,Month-to-month,No,No,Credit card,24.57,563.32,0
CUST-0063,64,39,Two year,DSL,No internet service,Bank transfer,50.96,1962.48,0
CUST-0064,24,57,Month-to-month,No,No,Electronic check,21.11,1263.13,0
CUST-0065,61,17,Month-to-month,Fiber optic,Yes,Electronic check,94.54,1566.8,0
CUST-0066,25,44,One year,No,No,Electronic check,19.43,843.75,0
CUST-0067,64,25,One year,DSL,No,Electronic check,67.79,1642.51,0
CUST-0068,52,17,Month-to-month,DSL,Yes,Electronic check,40.27,773.79,0
CUST-0069,31,13,Month-to-month,Fiber optic,Yes,Mailed check,77.35,1089.62,0
CUST-0070,34,25,Month-to-month,No,Yes,Bank transfer,26.42,616.31,0
CUST-0071,53,68,Month-to-month,Fiber optic,Yes,Mailed check,76.55,5212.76,0
CUST-0072,67,10,One year,DSL,No,Bank transfer,66.65,632.48,0
CUST-0073,57,67,Month-to-month,Fiber optic,No,Electronic check,93.77,6313.34,0
CUST-0074,21,18,Month-to-month,Fiber optic,Yes,Electronic check,91.03,1664.02,0
CUST-0075,19,34,One year,Fiber optic,Yes,Electronic check,74.8,2583.79,0
CUST-0076,23,8,Month-to-month,Fiber optic,No internet service,Mailed check,99.23,810.44,1
CUST-0077,71,40,One year,No,Yes,Electronic check,25.09,1150.37,0
CUST-0078,59,42,Month-to-month,Fiber optic,No,Electronic check,107.27,4453.94,0
CUST-0079,21,41,Two year,DSL,No internet service,Mailed check,54.84,2162.91,0
CUST-0080,71,6,Month-to-month,Fiber optic,Yes,Credit card,73.39,420.69,0
CUST-0081,46,52,Two year,DSL,,Electronic check,56.77,2873.64,0
CUST-0082,35,26,One year,Fiber optic,No,Bank transfer,72.22,1803.1,0
CUST-0083,43,64,Month-to-month,Fiber optic,No,Bank transfer,81.59,5171.69,0
CUST-0084,61,59,One year,DSL,No,Credit card,53.26,3096.23,0
CUST-0085,51,56,Two year,DSL,No internet service,Credit card,50.02,2753.39,0
CUST-0086,27,59,One year,DSL,Yes,Electronic check,55.65,3309.26,0
CUST-0087,53,70,Two year,No,No,Electronic check,25.94,1790.49,0
CUST-0088,31,33,Two year,No,No,Credit card,23.58,,0
CUST-0089,48,53,Month-to-month,DSL,Yes,Mailed check,62.83,3374.7,0
CUST-0090,65,22,Month-to-month,No,No,Bank transfer,23.4,476.48,1
CUST-0091,32,21,One year,Fiber optic,Yes,Bank transfer,75.06,1563.03,0
CUST-0092,25,70,Month-to-month,DSL,No,Bank transfer,41.59,2929.59,0
CUST-0093,31,70,Two year,DSL,Yes,Credit card,62.65,4288.42,0
CUST-0094,40,4,Two year,Fiber optic,No,Credit card,98.76,275.79,0
CUST-0095,74,62,Month-to-month,Fiber optic,No,Bank transfer,85.34,5308.39,0
CUST-0096,57,62,Month-to-month,Fiber optic,No internet service,Electronic check,114.9,7148.4,0
CUST-0097,38,24,One year,DSL,Yes,Credit card,45.51,1195.45,0
CUST-0098,33,55,Month-to-month,DSL,No,Electronic check,57.31,3159.95,0
CUST-0099,62,9,Two year,Fiber optic,No,Electronic check,111.88,1047.91,0
CUST-0100,35,3,Month-to-month,DSL,No,Credit card,50.69,142.3,0
CUST-0101,64,31,One year,DSL,No,Electronic check,60.91,1903.07,0
CUST-0102,70,40,Month-to-month,DSL,No,Electronic check,56.8,2355.36,0
CUST-0103,41,36,One year,No,No,Electronic check,27.85,896.4,0
CUST-0104,43,24,Month-to-month,No,No internet service,Credit card,18.45,463.48,0
CUST-0105,42,6,One year,Fiber optic,No,Mailed check,113.9,790.18,0
CUST-0106,62,66,Month-to-month,No,No,Bank transfer,24.51,1631.76,0
CUST-0107,58,4,One year,DSL,No internet service,Electronic check,42.36,251.97,0
CUST-0108,46,6,Two year,Fiber optic,No internet service,Bank transfer,99.08,563.02,0
CUST-0109,32,51,Month-to-month,DSL,No internet service,Bank transfer,42.34,2157.74,0
CUST-0110,62,62,Month-to-month,Fiber optic,No,Electronic check,75.78,4700.04,0
CUST-0111,18,57,Month-to-month,No,Yes,Mailed check,24.97,1312.41,0
CUST-0112,42,66,One year,Fiber optic,No,Electronic check,114.21,7479.45,0
CUST-0113,24,8,One year,Fiber optic,No,Credit card,111.03,833.4,1
CUST-0114,26,26,Month-to-month,Fiber optic,No,Bank transfer,89.76,2374.86,0
CUST-0115,41,51,Month-to-month,DSL,No,Credit card,66.45,3432.56,0
CUST-0116,18,45,Month-to-month,No,No internet service,Electronic check,22.73,,0
CUST-0117,61,44,One year,Fiber optic,No,Credit card,107.19,4757.57,0
CUST-0118,25,5,Month-to-month,Fiber optic,No internet service,Bank transfer,101.57,499.64,1
CUST-0119,41,70,Two year,Fiber optic,No,Bank transfer,90.67,6407.0,0
CUST-0120,28,26,Month-to-month,Fiber optic,No,Credit card,72.48,1884.92,0
CUST-0121,68,68,One year,DSL,No,Mailed check,54.12,3683.05,0
CUST-0122,34,19,Month-to-month,Fiber optic,No,Electronic check,91.11,1717.81,0
CUST-0123,25,20,Month-to-month,DSL,Yes,Bank transfer,45.73,,0
CUST-0124,52,12,One year,Fiber optic,Yes,Bank transfer,98.85,1165.14,1
CUST-0125,52,47,One year,No,No internet service,Bank transfer,20.3,1002.92,0
CUST-0126,50,1,Two year,No,Yes,Electronic check,28.08,,0
CUST-0127,22,14,Month-to-month,Fiber optic,No,Mailed check,72.97,966.63,0
CUST-0128,59,64,Month-to-month,Fiber optic,No,Electronic check,113.77,7315.65,0
CUST-0129,56,38,One year,DSL,No,Mailed check,62.47,2369.43,0
CUST-0130,58,37,One year,Fiber optic,No,Bank transfer,91.5,3362.81,0
CUST-0131,45,11,Month-to-month,DSL,Yes,Bank transfer,43.53,523.33,0
CUST-0132,24,3,Month-to-month,Fiber optic,No,Electronic check,100.71,271.77,0
CUST-0133,26,33,Month-to-month,DSL,No,Mailed check,67.62,2221.45,0
CUST-0134,25,6,Two year,DSL,No,Electronic check,57.45,414.66,0
CUST-0135,29,50,Month-to-month,Fiber optic,Yes,Electronic check,82.07,4180.46,1
CUST-0136,51,10,Month-to-month,DSL,No,Credit card,57.89,657.52,1
CUST-0137,50,5,Month-to-month,Fiber optic,Yes,Credit card,75.64,364.09,0
CUST-0138,65,23,Month-to-month,DSL,Yes,Mailed check,64.21,1538.37,0
CUST-0139,72,10,Month-to-month,DSL,Yes,Bank transfer,55.7,509.55,0
CUST-0140,40,44,Month-to-month,Fiber optic,Yes,Credit card,96.9,4218.25,0
CUST-0141,41,2,Month-to-month,DSL,No internet service,Credit card,43.87,18.0,0
CUST-0142,54,13,Two year,DSL,Yes,Electronic check,56.11,813.07,0
CUST-0143,52,40,Month-to-month,Fiber optic,No internet service,Credit card,90.21,3565.2,0
CUST-0144,61,2,Month-to-month,DSL,No internet service,Mailed check,49.25,92.17,0
CUST-0145,57,65,Two year,No,No,Electronic check,21.76,1368.88,0
CUST-0146,39,63,One year,DSL,Yes,Electronic check,62.92,3998.72,0
CUST-0147,44,17,Month-to-month,DSL,No,Mailed check,47.43,787.53,0
CUST-0148,52,9,Month-to-month,Fiber optic,No,Electronic check,81.01,663.85,1
CUST-0149,18,15,Month-to-month,DSL,No,Electronic check,43.06,667.98,0
CUST-0150,52,24,One year,DSL,Yes,Electronic check,61.85,1412.71,0
CUST-0151,54,38,Two year,Fiber optic,No,Credit card,109.47,4117.99,0
CUST-0152,64,35,One year,DSL,No internet service,Credit card,51.14,1684.56,0
CUST-0153,31,49,One year,No,No,Electronic check,29.65,1381.65,0
CUST-0154,20,69,One year,DSL,Yes,Credit card,61.76,4270.37,0
CUST-0155,18,62,Month-to-month,Fiber optic,No,Credit card,74.58,4525.73,0
CUST-0156,22,60,Month-to-month,No,Yes,Bank transfer,24.79,1413.34,0
CUST-0157,43,50,One year,Fiber optic,Yes,Electronic check,106.92,5345.88,1
CUST-0158,72,9,Two year,No,No internet service,Bank transfer,26.29,209.43,0
CUST-0159,31,34,Month-to-month,Fiber optic,Yes,Credit card,72.19,2554.06,0
CUST-0160,56,35,One year,No,Yes,Bank transfer,25.81,995.04,0
CUST-0161,44,1,Month-to-month,DSL,Yes,Electronic check,64.23,20.83,0
CUST-0162,26,40,Month-to-month,Fiber optic,No internet service,Mailed check,85.41,3444.26,0
CUST-0163,32,64,Month-to-month,Fiber optic,No,Bank transfer,94.59,,0
CUST-0164,32,22,Month-to-month,Fiber optic,No,Mailed check,74.11,1600.55,0
CUST-0165,43,60,One year,Fiber optic,No,Electronic check,104.05,6168.22,0
CUST-0166,59,64,Month-to-month,Fiber optic,Yes,Electronic check,96.21,6156.83,1
CUST-0167,30,11,One year,DSL,No,Credit card,59.97,651.03,0
CUST-0168,68,14,One year,DSL,No,Credit card,55.74,758.57,0
CUST-0169,49,60,Two year,Fiber optic,Yes,Electronic check,78.29,4719.52,0
CUST-0170,56,30,Month-to-month,Fiber optic,No,Credit card,72.57,2139.56,1
CUST-0171,66,35,Month-to-month,No,No internet service,Electronic check,21.92,,0
CUST-0172,69,37,Month-to-month,Fiber optic,Yes,Bank transfer,107.82,3994.79,0
CUST-0173,49,5,Two year,No,Yes,Bank transfer,18.68,112.7,0
CUST-0174,21,26,Two year,Fiber optic,Yes,Credit card,72.21,1818.63,0
CUST-0175,47,62,Month-to-month,DSL,Yes,Credit card,62.69,3933.18,0
CUST-0176,54,4,Two year,DSL,No internet service,Electronic check,63.82,166.76,1
CUST-0177,40,42,Month-to-month,Fiber optic,No,Credit card,84.7,3528.49,1
CUST-0178,56,18,One year,Fiber optic,No,Electronic check,85.73,1530.24,0
CUST-0179,62,40,Month-to-month,DSL,No,Bank transfer,48.03,1889.39,0
CUST-0180,32,39,One year,Fiber optic,Yes,Bank transfer,82.34,3183.01,0
CUST-0181,60,14,Month-to-month,No,No,Bank transfer,24.17,431.93,0
CUST-0182,46,32,Two year,Fiber optic,No,Electronic check,103.09,3256.34,0
CUST-0183,53,51,One year,Fiber optic,No,Credit card,98.15,5127.71,0
CUST-0184,30,38,One year,Fiber optic,No internet service,Electronic check,96.13,3674.8,0
CUST-0185,49,23,Month-to-month,DSL,No,Electronic check,42.66,985.78,1
CUST-0186,24,63,Month-to-month,Fiber optic,No,Bank transfer,100.39,6348.38,0
CUST-0187,68,15,Month-to-month,Fiber optic,No internet service,Mailed check,79.26,1315.4,0
CUST-0188,39,25,Month-to-month,DSL,Yes,Credit card,45.35,1084.07,0
CUST-0189,45,17,Month-to-month,Fiber optic,Yes,Mailed check,75.67,1230.37,1
CUST-0190,19,66,Two year,Fiber optic,Yes,Electronic check,75.84,4967.7,0
CUST-0191,59,53,One year,No,No,Credit card,26.6,1411.41,0
CUST-0192,62,51,Month-to-month,No,No,Mailed check,26.03,1241.24,0
CUST-0193,74,39,Month-to-month,DSL,No,Electronic check,44.05,1719.07,0
CUST-0194,70,51,Month-to-month,Fiber optic,No internet service,Bank transfer,98.28,5096.96,0
CUST-0195,23,70,One year,Fiber optic,No,Mailed check,78.28,5487.17,0
CUST-0196,45,6,Month-to-month,No,No,Bank transfer,25.46,138.13,1
CUST-0197,45,67,Two year,DSL,Yes,Mailed check,50.4,3345.89,0
CUST-0198,61,7,Month-to-month,Fiber optic,Yes,Credit card,96.04,717.21,0
CUST-0199,61,51,Two year,Fiber optic,No,Credit card,97.82,4947.53,0
CUST-0200,37,42,Two year,DSL,No,Bank transfer,62.7,2725.72,0
CUST-0201,47,64,Month-to-month,DSL,No internet service,Electronic check,49.96,3294.11,1
CUST-0202,28,15,Two year,Fiber optic,Yes,Credit card,107.55,1626.09,0
CUST-0203,72,29,Month-to-month,Fiber optic,Yes,Bank transfer,72.53,2102.79,1
CUST-0204,45,33,Two year,DSL,No,Bank transfer,43.91,1500.56,0
CUST-0205,42,27,Month-to-month,Fiber optic,Yes,Mailed check,108.29,2978.57,0
CUST-0206,56,36,Two year,Fiber optic,Yes,Credit card,82.88,2943.38,0
CUST-0207,50,29,Two year,Fiber optic,No,Bank transfer,98.82,2839.45,0
CUST-0208,18,38,Two year,DSL,Yes,Electronic check,41.9,1526.08,1
CUST-0209,74,57,One year,No,No,Mailed check,24.21,1400.42,0
CUST-0210,44,27,Month-to-month,DSL,Yes,Credit card,65.76,1808.85,1
CUST-0211,74,55,Month-to-month,Fiber optic,Yes,Electronic check,96.09,5217.45,0
CUST-0212,69,33,Month-to-month,DSL,No,Credit card,47.6,1548.04,0
CUST-0213,30,68,Month-to-month,DSL,No internet service,Bank transfer,56.66,3785.52,0
CUST-0214,58,66,One year,Fiber optic,No,Bank transfer,77.92,5097.78,0
CUST-0215,20,10,Month-to-month,DSL,No,Electronic check,59.66,624.15,0
CUST-0216,56,5,Two year,No,Yes,Electronic check,24.36,85.13,0
CUST-0217,23,38,One year,DSL,No,Credit card,65.93,2490.3,0
CUST-0218,25,13,Two year,Fiber optic,Yes,Electronic check,79.53,952.52,0
CUST-0219,44,31,Month-to-month,DSL,No,Bank transfer,60.82,1894.77,1
CUST-0220,26,47,Two year,DSL,No,Mailed check,40.48,1900.35,0
CUST-0221,54,52,Two year,DSL,No internet service,Electronic check,51.18,2624.91,0
CUST-0222,50,56,Month-to-month,Fiber optic,No,Electronic check,111.03,6208.23,0
CUST-0223,68,15,One year,Fiber optic,Yes,Mailed check,76.6,1158.01,0
CUST-0224,59,29,One year,Fiber optic,,Credit card,99.07,2832.29,0
CUST-0225,61,8,Month-to-month,Fiber optic,No internet service,Mailed check,80.48,570.03,0
CUST-0226,41,5,Month-to-month,Fiber optic,No,Mailed check,77.05,475.53,1
CUST-0227,32,29,Month-to-month,DSL,No,Mailed check,60.31,1717.33,0
CUST-0228,71,47,Month-to-month,Fiber optic,Yes,Mailed check,96.72,4541.0,0
CUST-0229,49,68,Month-to-month,No,No,Mailed check,29.23,2038.18,0
CUST-0230,49,45,Month-to-month,Fiber optic,Yes,Credit card,83.93,3953.3,0
CUST-0231,41,2,Month-to-month,Fiber optic,No internet service,Mailed check,90.16,118.1,0
CUST-0232,58,27,Month-to-month,DSL,No,Mailed check,50.67,1390.58,1
CUST-0233,69,36,Two year,Fiber optic,No internet service,Electronic check,114.28,4078.7,0
CUST-0234,66,36,Month-to-month,Fiber optic,Yes,Credit card,83.15,2966.46,1
CUST-0235,66,26,Two year,Fiber optic,No,Electronic check,83.27,2129.01,0
CUST-0236,69,43,Month-to-month,No,No,Electronic check,27.01,1105.15,0
CUST-0237,29,27,Month-to-month,DSL,No,Bank transfer,51.37,1384.93,0
CUST-0238,56,69,Month-to-month,DSL,No internet service,Bank transfer,49.08,,0
CUST-0239,19,20,Month-to-month,Fiber optic,No internet service,Mailed check,111.19,2271.14,0
CUST-0240,20,11,Month-to-month,No,No internet service,Mailed check,18.37,204.82,0
CUST-0241,66,38,One year,DSL,No,Credit card,67.9,2601.32,0
CUST-0242,54,6,Month-to-month,DSL,Yes,Electronic check,56.35,314.79,1
CUST-0243,66,23,One year,DSL,Yes,Credit card,59.84,1357.96,1
CUST-0244,73,47,One year,DSL,No internet service,Bank transfer,67.1,3168.08,0
CUST-0245,34,46,Month-to-month,Fiber optic,Yes,Mailed check,77.59,3510.94,0
CUST-0246,66,12,Month-to-month,Fiber optic,No,Mailed check,113.57,1344.94,1
CUST-0247,19,13,One year,DSL,No,Electronic check,61.27,753.53,0
CUST-0248,19,62,Month-to-month,Fiber optic,No,Bank transfer,112.56,6934.19,0
CUST-0249,45,60,Month-to-month,DSL,No internet service,Mailed check,65.71,3837.11,0
CUST-0250,71,43,Two year,DSL,No,Electronic check,52.45,2322.32,0
CUST-0251,40,68,Month-to-month,Fiber optic,No,Bank transfer,78.47,5301.63,0
CUST-0252,54,5,One year,No,Yes,Credit card,29.07,203.52,0
CUST-0253,49,37,Two year,No,No,Mailed check,23.11,908.51,0
CUST-0254,50,31,Month-to-month,DSL,Yes,Credit card,48.74,1446.64,0
CUST-0255,18,9,Month-to-month,No,No,Mailed check,24.65,167.43,1
CUST-0256,36,51,Month-to-month,Fiber optic,No internet service,Electronic check,89.03,4668.56,0
CUST-0257,19,29,Month-to-month,Fiber optic,No internet service,Electronic check,105.8,3155.75,0
CUST-0258,70,40,Month-to-month,Fiber optic,Yes,Mailed check,76.36,3052.82,0
CUST-0259,61,41,One year,Fiber optic,No,Electronic check,75.86,3123.13,0
CUST-0260,43,11,Month-to-month,DSL,No internet service,Electronic check,42.69,438.05,1
CUST-0261,49,23,Month-to-month,DSL,Yes,Credit card,50.12,1174.38,0
CUST-0262,23,1,Two year,DSL,Yes,Credit card,42.69,,0
CUST-0263,49,46,Two year,DSL,Yes,Bank transfer,68.85,3065.48,0
CUST-0264,72,21,One year,Fiber optic,No,Electronic check,111.57,2276.89,0
CUST-0265,21,36,Month-to-month,Fiber optic,Yes,Electronic check,106.97,3851.97,0
CUST-0266,72,54,One year,Fiber optic,No internet service,Electronic check,85.93,4583.67,0
CUST-0267,28,57,Month-to-month,DSL,No,Bank transfer,68.0,3872.64,0
CUST-0268,73,1,Month-to-month,No,No,Credit card,27.72,18.0,1
CUST-0269,34,63,Month-to-month,No,Yes,Mailed check,19.05,1161.03,0
CUST-0270,55,54,Two year,Fiber optic,No,Electronic check,100.72,5481.54,0
CUST-0271,41,55,Month-to-month,No,No,Mailed check,28.98,1606.27,0
CUST-0272,22,40,Month-to-month,Fiber optic,No,Mailed check,81.97,3278.32,0
CUST-0273,69,15,Month-to-month,No,No,Mailed check,25.98,433.65,0
CUST-0274,51,21,Month-to-month,DSL,No,Bank transfer,68.15,1455.18,1
CUST-0275,23,47,Two year,Fiber optic,No internet service,Bank transfer,110.09,5246.56,0
CUST-0276,39,53,One year,DSL,No internet service,Electronic check,43.4,2277.21,0
CUST-0277,28,9,One year,DSL,No,Electronic check,57.11,492.51,0
CUST-0278,65,52,Month-to-month,DSL,Yes,Credit card,65.86,3359.66,0
CUST-0279,33,57,Month-to-month,Fiber optic,Yes,Electronic check,77.36,,0
CUST-0280,50,26,Month-to-month,Fiber optic,Yes,Electronic check,101.13,2677.62,0
CUST-0281,26,41,Month-to-month,Fiber optic,No,Electronic check,100.34,4178.94,0
CUST-0282,23,35,Month-to-month,DSL,No,Electronic check,42.22,1525.72,0
CUST-0283,33,63,One year,No,No,Mailed check,21.63,1272.98,0
CUST-0284,46,25,Month-to-month,Fiber optic,No internet service,Credit card,100.9,,0
CUST-0285,20,38,Month-to-month,Fiber optic,No internet service,Mailed check,80.96,2984.55,0
CUST-0286,37,2,Month-to-month,Fiber optic,No internet service,Mailed check,105.94,256.79,1
CUST-0287,53,7,Month-to-month,DSL,No,Bank transfer,49.13,325.52,0
CUST-0288,36,34,Month-to-month,DSL,No,Mailed check,42.59,1483.19,0
CUST-0289,43,17,Two year,No,Yes,Credit card,20.97,289.87,0
CUST-0290,20,43,Two year,DSL,Yes,Credit card,53.49,2358.63,0
CUST-0291,36,59,Two year,Fiber optic,Yes,Electronic check,98.38,5731.17,0
CUST-0292,37,51,Month-to-month,No,No,Bank transfer,28.58,1424.16,0
CUST-0293,49,54,Month-to-month,Fiber optic,No,Mailed check,89.7,4793.9,0
CUST-0294,24,24,Month-to-month,DSL,No internet service,Credit card,48.61,1078.93,0
CUST-0295,69,25,Month-to-month,DSL,Yes,Mailed check,48.41,1214.98,0
CUST-0296,58,71,Two year,DSL,No,Credit card,44.79,3270.39,0
CUST-0297,50,52,Month-to-month,Fiber optic,No,Bank transfer,112.33,5974.51,0
CUST-0298,57,70,Month-to-month,Fiber optic,Yes,Electronic check,77.87,5455.76,0
CUST-0299,56,33,Month-to-month,DSL,No,Mailed check,63.79,2160.9,0
CUST-0300,35,49,Month-to-month,No,Yes,Credit card,25.5,1261.1,0
CUST-0301,57,29,One year,Fiber optic,No,Credit card,81.38,2384.96,0
CUST-0302,18,63,Month-to-month,DSL,No,Electronic check,46.97,2942.0,0
CUST-0303,28,22,Month-to-month,Fiber optic,Yes,Bank transfer,82.06,1815.07,1
CUST-0304,45,26,Month-to-month,Fiber optic,Yes,Mailed check,111.05,2914.17,0
CUST-0305,74,28,Month-to-month,DSL,No,Electronic check,43.39,1186.0,0
CUST-0306,42,49,One year,DSL,No internet service,Mailed check,66.1,3235.03,0
CUST-0307,67,71,Two year,No,No,Electronic check,20.99,1487.37,0
CUST-0308,40,49,Two year,Fiber optic,No,Credit card,102.37,5057.45,0
CUST-0309,48,20,One year,Fiber optic,No,Electronic check,71.27,1372.1,0
CUST-0310,47,63,Month-to-month,Fiber optic,No internet service,Credit card,86.89,5471.49,0
CUST-0311,59,61,One year,DSL,No internet service,Electronic check,62.1,3883.7,0
CUST-0312,52,49,Month-to-month,DSL,No,Electronic check,53.6,2684.6,0
CUST-0313,24,71,Month-to-month,Fiber optic,No,Electronic check,107.04,7667.3,0
CUST-0314,33,1,Two year,DSL,No internet service,Electronic check,41.64,42.86,0
CUST-0315,43,13,Month-to-month,DSL,No,Electronic check,50.65,674.5,0
CUST-0316,65,51,Two year,No,No,Electronic check,18.37,986.98,0
CUST-0317,74,56,Month-to-month,No,Yes,Mailed check,28.55,,1
CUST-0318,69,62,One year,Fiber optic,No internet service,Electronic check,74.84,4542.5,0
CUST-0319,66,32,One year,No,No internet service,Mailed check,29.34,873.11,0
CUST-0320,19,30,Two year,DSL,Yes,Mailed check,66.24,2052.67,0
CUST-0321,18,29,One year,No,No,Credit card,22.1,627.06,0
CUST-0322,65,49,One year,DSL,No,Credit card,64.15,3109.76,1
CUST-0323,29,45,Month-to-month,No,Yes,Mailed check,18.29,760.34,0
CUST-0324,22,30,Month-to-month,No,No internet service,Electronic check,24.98,721.65,1
CUST-0325,54,16,Month-to-month,Fiber optic,Yes,Electronic check,81.93,1240.76,0
CUST-0326,49,40,One year,No,Yes,Credit card,20.63,929.75,0
CUST-0327,72,19,Month-to-month,Fiber optic,No,Electronic check,113.45,2154.43,0
CUST-0328,26,18,One year,DSL,No,Electronic check,49.51,888.28,0
CUST-0329,58,1,Month-to-month,Fiber optic,Yes,Electronic check,92.63,122.03,0
CUST-0330,52,47,Month-to-month,Fiber optic,No,Electronic check,105.78,5019.78,0
CUST-0331,36,66,One year,DSL,No,Electronic check,68.85,4591.39,1
CUST-0332,65,38,Month-to-month,Fiber optic,Yes,Credit card,113.98,4384.92,0
CUST-0333,33,51,Month-to-month,No,Yes,Electronic check,20.8,1029.26,0
CUST-0334,20,63,Month-to-month,DSL,No,Bank transfer,55.8,3500.51,0
CUST-0335,37,4,Two year,Fiber optic,Yes,Electronic check,83.47,372.33,0
CUST-0336,41,1,One year,No,No internet service,Electronic check,19.48,18.0,0
CUST-0337,71,8,Month-to-month,No,No internet service,Credit card,29.84,238.46,0
