median_income,house_age,total_rooms,total_bedrooms,population,ocean_proximity,median_house_value
8.85,43,2085,406.0,1234,NEAR OCEAN,437900.0
4.74,48,709,131.0,459,NEAR BAY,278300.0
3.98,19,2059,511.0,888,INLAND,172200.0
6.94,31,2058,502.0,1232,NEAR BAY,378900.0
2.39,43,1113,256.0,756,INLAND,128400.0
1.31,50,2265,475.0,1435,INLAND,139700.0
5.31,43,3166,612.0,1834,NEAR BAY,334000.0
3.31,25,4037,789.0,1975,INLAND,186600.0
3.46,4,1796,378.0,940,INLAND,129000.0
2.35,50,4642,1085.0,3157,NEAR BAY,228600.0
7.73,51,1255,249.0,614,INLAND,306800.0
1.35,13,1223,246.0,793,NEAR OCEAN,153000.0
5.62,36,3404,755.0,2164,NEAR BAY,321500.0
4.02,42,775,152.0,610,INLAND,167100.0
9.16,37,398,87.0,168,NEAR BAY,448100.0
6.96,3,1565,324.0,693,NEAR BAY,342900.0
1.94,16,2198,400.0,1324,<1H OCEAN,192300.0
5.9,26,1216,253.0,742,INLAND,255500.0
5.22,40,3818,932.0,1588,INLAND,270100.0
3.84,39,225,45.0,164,NEAR BAY,255500.0
5.64,19,1758,356.0,1051,<1H OCEAN,324800.0
2.68,46,3924,724.0,2113,<1H OCEAN,265700.0
4.26,15,3658,815.0,1929,NEAR BAY,294400.0
4.06,32,3556,851.0,2647,NEAR BAY,304200.0
2.43,49,2567,525.0,1228,NEAR BAY,198100.0
3.31,21,670,131.0,310,<1H OCEAN,226800.0
2.97,1,2667,658.0,1294,NEAR BAY,227000.0
5.03,6,4946,1148.0,3214,INLAND,241700.0
7.99,27,1085,238.0,785,NEAR BAY,400800.0
1.66,23,1075,216.0,572,NEAR BAY,169200.0
5.12,47,1141,223.0,535,NEAR BAY,320900.0
2.9,31,3241,745.0,1567,INLAND,156400.0
6.71,12,771,166.0,499,NEAR BAY,340300.0
5.08,21,4349,941.0,2167,INLAND,268500.0
1.38,2,804,148.0,603,<1H OCEAN,171900.0
4.48,5,4620,997.0,2039,INLAND,222900.0
3.72,9,3729,885.0,1539,<1H OCEAN,257400.0
1.78,20,4560,,1985,<1H OCEAN,188400.0
2.93,46,581,108.0,428,<1H OCEAN,224400.0
4.36,18,1436,321.0,948,NEAR OCEAN,278600.0
2.98,22,2580,567.0,2020,INLAND,145300.0
7.15,8,3979,964.0,2126,NEAR BAY,389100.0
3.7,34,2305,536.0,1118,<1H OCEAN,259300.0
2.8,9,1717,425.0,1072,<1H OCEAN,188800.0
4.51,7,1733,428.0,1066,INLAND,195400.0
4.85,30,3494,684.0,2223,NEAR BAY,321200.0
6.75,18,3640,840.0,1962,<1H OCEAN,379000.0
4.16,27,3689,801.0,1484,NEAR OCEAN,315200.0
4.74,16,4145,808.0,1716,INLAND,225500.0
3.3,21,4842,937.0,3222,NEAR OCEAN,263400.0
9.28,5,1070,198.0,651,INLAND,385500.0
5.06,29,2350,553.0,1711,NEAR BAY,291400.0
4.42,47,3432,695.0,1785,INLAND,218200.0
2.98,37,3431,823.0,2491,INLAND,177500.0
7.24,43,3966,882.0,2261,<1H OCEAN,426400.0
1.28,22,3407,773.0,1494,INLAND,118900.0
4.52,14,4693,940.0,3712,INLAND,211500.0
2.7,19,4687,993.0,2834,NEAR BAY,270300.0
6.37,35,4026,840.0,2624,INLAND,302700.0
4.88,24,1812,356.0,1210,INLAND,203600.0
4.46,42,1277,304.0,695,NEAR OCEAN,273800.0
2.09,6,1500,335.0,1048,INLAND,107200.0
3.88,3,2358,,1764,NEAR OCEAN,288200.0
4.99,34,2471,586.0,1371,INLAND,234500.0
6.75,45,2729,511.0,1808,NEAR BAY,413200.0
5.36,50,3460,720.0,2431,INLAND,275400.0
6.37,2,563,123.0,268,INLAND,225600.0
1.57,15,1045,188.0,557,NEAR OCEAN,189000.0
4.4,37,3232,729.0,1433,<1H OCEAN,285700.0
6.9,15,1527,345.0,978,NEAR OCEAN,350000.0
0.77,32,3362,758.0,2421,<1H OCEAN,175700.0
3.52,21,591,113.0,380,<1H OCEAN,234200.0
5.02,17,3455,683.0,1630,<1H OCEAN,327200.0
7.42,34,2259,445.0,1397,<1H OCEAN,401800.0
4.29,32,3437,849.0,2522,<1H OCEAN,293800.0
4.0,50,2246,414.0,1170,INLAND,227900.0
4.77,47,4441,932.0,3255,INLAND,242700.0
5.05,23,1505,362.0,1074,<1H OCEAN,283300.0
2.33,35,3094,723.0,1264,NEAR BAY,231900.0
2.98,37,2232,530.0,1106,INLAND,159800.0
1.13,43,964,239.0,594,NEAR OCEAN,169400.0
2.7,41,698,144.0,479,INLAND,148100.0
1.99,37,3568,719.0,2683,<1H OCEAN,216100.0
2.32,33,3144,572.0,2063,INLAND,172000.0
11.99,25,4004,762.0,2210,<1H OCEAN,500000.0
7.18,46,4413,967.0,2091,INLAND,326700.0
2.02,37,4660,890.0,3280,NEAR OCEAN,239600.0
1.69,40,335,77.0,161,ISLAND,176200.0
2.8,21,1300,237.0,881,NEAR OCEAN,218200.0
1.65,46,2071,410.0,978,NEAR BAY,179900.0
4.69,48,4233,968.0,1847,INLAND,230600.0
4.65,38,4313,853.0,2158,NEAR OCEAN,335800.0
2.29,40,4212,973.0,2164,<1H OCEAN,218800.0
5.93,34,404,100.0,266,NEAR OCEAN,321800.0
5.93,19,4794,1130.0,2226,<1H OCEAN,364900.0
2.62,27,2571,524.0,1985,INLAND,167100.0
2.25,9,4890,1188.0,3040,NEAR BAY,219900.0
3.13,5,761,139.0,453,<1H OCEAN,226000.0
5.52,5,3514,810.0,2016,<1H OCEAN,324000.0
11.44,25,4160,755.0,2606,NEAR BAY,500000.0
5.45,26,2726,523.0,1114,INLAND,246700.0
1.91,19,2411,600.0,1919,<1H OCEAN,194500.0
4.84,30,2571,527.0,1601,<1H OCEAN,311500.0
4.29,36,4935,1171.0,2043,NEAR BAY,302900.0
4.15,48,2881,594.0,1832,INLAND,205000.0
1.68,48,3006,717.0,1727,NEAR BAY,225900.0
4.83,16,3969,982.0,1625,INLAND,226700.0
3.95,7,2455,516.0,1889,NEAR OCEAN,232600.0
1.85,18,4610,1010.0,1863,<1H OCEAN,222200.0
9.83,21,1100,246.0,694,<1H OCEAN,473500.0
1.72,31,1950,478.0,1530,<1H OCEAN,203000.0
5.2,1,3495,691.0,1730,INLAND,223200.0
3.67,3,3359,748.0,1685,<1H OCEAN,258500.0
3.23,31,1652,334.0,661,NEAR OCEAN,248000.0
7.92,25,1443,281.0,615,<1H OCEAN,413600.0
6.69,8,2522,468.0,1054,INLAND,285900.0
3.68,1,1870,417.0,1363,<1H OCEAN,254600.0
2.38,7,2227,538.0,1636,NEAR OCEAN,193100.0
3.01,7,1968,402.0,1359,NEAR BAY,189200.0
3.37,8,3863,844.0,2090,INLAND,191400.0
6.75,19,2502,562.0,1822,NEAR OCEAN,351600.0
4.98,17,1369,286.0,843,NEAR OCEAN,288900.0
6.88,11,4910,1194.0,2561,INLAND,322500.0
1.64,47,2632,540.0,1513,INLAND,122600.0
7.21,41,586,110.0,249,INLAND,304300.0
8.56,49,2630,499.0,2046,INLAND,402200.0
2.49,11,3548,859.0,2297,NEAR OCEAN,231400.0
6.28,38,1605,399.0,1111,NEAR BAY,338900.0
8.17,41,323,64.0,216,INLAND,303000.0
2.82,50,4197,797.0,2799,NEAR OCEAN,270800.0
1.97,2,3652,780.0,1486,INLAND,122700.0
4.58,4,4096,940.0,2499,<1H OCEAN,277600.0
1.09,50,1824,406.0,1329,INLAND,114100.0
7.15,28,1381,340.0,576,<1H OCEAN,383900.0
2.28,33,927,219.0,725,NEAR OCEAN,200400.0
3.45,11,4084,983.0,2326,INLAND,214900.0
5.93,3,3870,843.0,1996,<1H OCEAN,358100.0
5.5,40,1341,272.0,821,NEAR OCEAN,306100.0
5.83,5,2575,589.0,1855,NEAR OCEAN,344900.0
2.48,21,4231,891.0,2495,INLAND,158400.0
4.81,22,558,111.0,367,INLAND,228300.0
6.49,37,3942,751.0,2365,INLAND,314200.0
2.76,11,3044,660.0,1986,INLAND,154800.0
10.23,44,4738,1049.0,2156,INLAND,448800.0
3.55,22,2411,529.0,1001,INLAND,156500.0
1.03,41,1172,220.0,532,<1H OCEAN,155600.0
3.53,13,560,123.0,288,INLAND,153800.0
8.11,3,2832,543.0,1419,NEAR OCEAN,388100.0
2.19,13,3390,767.0,2190,<1H OCEAN,219100.0
2.08,28,1824,383.0,1062,INLAND,108900.0
5.04,11,4128,988.0,1715,INLAND,232300.0
1.96,11,1956,458.0,809,<1H OCEAN,199300.0
1.91,21,440,101.0,191,NEAR BAY,168400.0
2.37,21,4961,1136.0,2685,NEAR BAY,245100.0
9.29,7,1175,257.0,472,NEAR OCEAN,437600.0
5.36,17,4518,832.0,2699,NEAR BAY,320400.0
4.16,48,2513,567.0,1367,NEAR OCEAN,303000.0
2.47,14,1505,320.0,936,NEAR OCEAN,217500.0
6.45,33,987,210.0,679,INLAND,281900.0
5.67,11,2628,542.0,1315,<1H OCEAN,353800.0
9.66,13,755,185.0,349,INLAND,361000.0
2.17,1,2309,,1180,NEAR OCEAN,165300.0
2.0,34,2849,575.0,1141,<1H OCEAN,200600.0
1.05,9,1759,435.0,788,NEAR BAY,168200.0
5.43,13,4435,1049.0,3105,<1H OCEAN,334700.0
4.63,37,1563,282.0,764,<1H OCEAN,270100.0
3.16,30,4159,1012.0,3317,NEAR BAY,236900.0
1.04,41,789,154.0,368,NEAR OCEAN,181100.0
8.64,45,1949,447.0,1394,INLAND,368500.0
4.49,37,740,161.0,504,INLAND,190600.0
7.7,47,2622,570.0,1386,NEAR BAY,442500.0
8.11,7,490,112.0,260,<1H OCEAN,427000.0
5.34,14,2290,445.0,1432,<1H OCEAN,327300.0
5.8,48,4135,790.0,3063,<1H OCEAN,374700.0
2.71,6,4158,938.0,2305,<1H OCEAN,242400.0
4.28,34,4059,813.0,1722,<1H OCEAN,315200.0
6.99,16,1455,361.0,799,INLAND,311600.0
2.37,51,207,43.0,99,INLAND,110900.0
6.71,37,1857,348.0,1440,NEAR BAY,361800.0
6.47,36,4778,1089.0,3243,NEAR BAY,386500.0
6.37,46,4628,932.0,1945,NEAR BAY,395800.0
4.1,6,1456,277.0,753,NEAR OCEAN,279500.0
2.49,8,4150,869.0,1743,NEAR OCEAN,233800.0
10.2,24,1239,306.0,906,NEAR BAY,485800.0
8.35,3,2316,483.0,1765,INLAND,342100.0
4.16,4,884,180.0,393,NEAR BAY,251800.0
4.63,32,4218,890.0,2430,<1H OCEAN,309000.0
3.41,1,1997,361.0,1543,INLAND,155900.0
1.11,34,2024,383.0,927,<1H OCEAN,161300.0
3.8,45,3734,894.0,1929,INLAND,198300.0
5.37,9,262,,136,<1H OCEAN,295600.0
2.82,12,460,,189,INLAND,117100.0
3.3,10,3771,820.0,1563,NEAR BAY,280900.0
3.28,10,3392,840.0,2649,NEAR BAY,250900.0
4.31,50,1688,322.0,1060,INLAND,228100.0
3.49,44,1330,256.0,695,NEAR OCEAN,233800.0
2.29,48,4475,1095.0,2467,INLAND,145700.0
4.3,23,554,127.0,380,NEAR BAY,260900.0
5.21,6,2974,566.0,1625,NEAR OCEAN,324100.0
4.54,24,788,163.0,386,NEAR BAY,266400.0
1.04,24,804,147.0,354,NEAR BAY,149900.0
5.77,21,2428,510.0,1679,NEAR OCEAN,346700.0
1.86,42,373,87.0,176,<1H OCEAN,179000.0
5.16,31,553,120.0,236,INLAND,205300.0
5.29,47,3490,786.0,1992,<1H OCEAN,349200.0
1.41,41,633,128.0,263,<1H OCEAN,151600.0
6.58,30,3152,602.0,2477,NEAR BAY,366200.0
10.14,34,458,82.0,298,<1H OCEAN,473200.0
3.36,18,1067,253.0,491,<1H OCEAN,240200.0
5.16,12,2806,630.0,1315,NEAR OCEAN,322000.0
3.01,35,3845,753.0,2414,NEAR OCEAN,271000.0
1.84,7,795,166.0,431,INLAND,86300.0
6.94,41,593,140.0,420,<1H OCEAN,378700.0
5.23,40,4631,1008.0,2863,NEAR BAY,352000.0
2.6,25,2310,464.0,1324,NEAR BAY,232400.0
1.9,6,4064,807.0,3191,INLAND,115600.0
10.45,1,4339,847.0,2413,<1H OCEAN,500000.0
1.58,46,2400,570.0,1344,<1H OCEAN,195000.0
5.65,16,4197,926.0,2796,INLAND,263400.0
4.45,48,4053,930.0,2933,<1H OCEAN,317800.0
6.2,4,3954,949.0,2572,<1H OCEAN,385200.0
8.94,29,4570,1138.0,3105,<1H OCEAN,454400.0
0.49,38,3629,716.0,1992,NEAR BAY,185300.0
2.05,47,4721,909.0,2793,<1H OCEAN,258900.0
3.73,28,4778,1014.0,2287,NEAR OCEAN,299700.0
9.33,22,413,75.0,277,NEAR BAY,428600.0
3.1,8,2326,547.0,1136,INLAND,176200.0
2.73,32,338,81.0,135,NEAR OCEAN,204900.0
0.74,33,4393,,3398,<1H OCEAN,191600.0
2.57,13,4160,826.0,2173,INLAND,154900.0
5.54,27,863,162.0,413,NEAR BAY,305500.0
3.74,18,3032,626.0,1538,<1H OCEAN,273400.0
2.53,18,1273,303.0,677,INLAND,153500.0
10.52,13,4774,975.0,2815,NEAR BAY,500000.0
3.35,22,4222,770.0,1805,INLAND,215100.0
4.31,14,361,71.0,152,NEAR BAY,253700.0
2.42,11,1700,423.0,879,<1H OCEAN,203400.0
1.83,39,3378,768.0,1750,NEAR OCEAN,193900.0
5.97,50,4690,1139.0,2096,INLAND,287500.0
1.21,22,385,90.0,216,<1H OCEAN,148900.0
5.27,36,4853,1056.0,2492,INLAND,261000.0
0.35,17,2180,415.0,894,NEAR BAY,123100.0
4.85,51,4741,969.0,3576,NEAR OCEAN,326200.0
1.96,32,4188,924.0,3159,NEAR BAY,217200.0
2.25,14,1029,247.0,497,NEAR BAY,208800.0
3.37,42,3719,739.0,1729,INLAND,168700.0
1.73,29,3711,699.0,2296,<1H OCEAN,175900.0
0.98,6,3528,773.0,2301,INLAND,61200.0
3.58,50,3548,682.0,2778,NEAR BAY,268100.0
6.14,4,2685,598.0,1479,<1H OCEAN,348300.0
4.58,11,4811,954.0,3114,INLAND,223600.0
7.41,45,1425,279.0,1070,NEAR BAY,385600.0
1.08,40,3044,632.0,1765,INLAND,97400.0
3.11,10,2933,649.0,1316,INLAND,130000.0
4.08,28,4620,1007.0,2545,INLAND,230900.0
2.25,11,4196,827.0,1907,<1H OCEAN,240900.0
4.19,35,2870,695.0,1167,<1H OCEAN,282800.0
7.18,15,4982,935.0,3490,INLAND,324900.0
5.36,8,1698,310.0,841,NEAR BAY,305400.0
7.76,20,1888,419.0,756,NEAR BAY,379500.0
4.73,50,2647,499.0,1982,INLAND,225400.0
3.76,21,1067,229.0,616,NEAR BAY,274600.0
9.0,1,4512,1112.0,2235,INLAND,375600.0
4.29,29,3208,734.0,1620,NEAR BAY,295100.0
10.09,24,3724,831.0,1847,<1H OCEAN,487000.0
6.67,30,2212,487.0,1056,INLAND,279100.0
2.59,40,439,84.0,323,NEAR BAY,219700.0
3.53,35,247,51.0,115,INLAND,145900.0
8.95,33,4249,866.0,2654,INLAND,411500.0
7.41,20,3657,902.0,1575,<1H OCEAN,376700.0
6.09,16,3479,685.0,2712,INLAND,261400.0
5.72,9,3428,730.0,2198,NEAR BAY,311800.0
1.62,31,1448,355.0,1102,INLAND,121500.0
1.89,17,1367,321.0,764,INLAND,102800.0
4.6,31,3690,913.0,2672,<1H OCEAN,304100.0
2.28,48,2097,466.0,1554,NEAR OCEAN,225700.0
3.38,23,3736,759.0,2544,NEAR BAY,283100.0
3.24,6,2379,565.0,1040,<1H OCEAN,238400.0
5.55,30,4920,985.0,1999,INLAND,290600.0
4.71,7,2170,415.0,1014,NEAR BAY,280600.0
7.09,48,4896,1123.0,2189,NEAR BAY,401700.0
4.76,40,2920,656.0,2014,NEAR OCEAN,314300.0
4.55,42,2581,623.0,1607,INLAND,210600.0
4.0,46,2143,530.0,1308,ISLAND,289800.0
7.71,11,3346,803.0,1676,INLAND,317700.0
4.02,34,3683,678.0,1700,NEAR BAY,288300.0
2.54,12,3896,882.0,1880,<1H OCEAN,195300.0
5.87,45,3025,710.0,1694,NEAR OCEAN,351300.0
3.73,47,2027,504.0,1410,<1H OCEAN,265700.0
6.62,27,422,87.0,211,<1H OCEAN,361900.0
8.17,12,1946,373.0,1322,INLAND,339500.0
3.53,13,729,174.0,434,NEAR BAY,232700.0
8.01,8,333,67.0,251,INLAND,278200.0
6.72,16,4003,888.0,1974,INLAND,291600.0
2.83,29,4686,971.0,2719,NEAR OCEAN,272900.0
2.31,35,301,62.0,132,<1H OCEAN,193400.0
2.19,29,3923,907.0,2095,<1H OCEAN,209400.0
1.86,31,2928,601.0,1764,INLAND,142200.0
7.57,13,2745,627.0,1902,<1H OCEAN,369500.0
3.56,12,2758,499.0,1321,NEAR OCEAN,251500.0
9.71,51,3241,657.0,1579,INLAND,421100.0
2.62,2,2200,445.0,1435,INLAND,131600.0
2.94,33,1148,266.0,634,<1H OCEAN,207300.0
5.4,8,1768,357.0,1048,<1H OCEAN,291700.0
9.43,41,2253,505.0,1654,ISLAND,457600.0
2.86,40,3205,731.0,1921,INLAND,178900.0
6.29,49,393,88.0,259,NEAR BAY,346100.0
4.02,41,941,209.0,623,INLAND,179800.0
5.44,32,4106,857.0,2962,INLAND,268600.0
2.4,38,3159,651.0,2069,<1H OCEAN,218300.0
5.93,28,4768,1046.0,2030,NEAR BAY,375300.0
3.39,15,2463,454.0,1322,NEAR OCEAN,252500.0
3.02,23,3620,873.0,2880,NEAR OCEAN,245000.0
3.92,24,3123,742.0,1494,NEAR BAY,273000.0
5.63,13,3454,705.0,2192,NEAR BAY,328000.0
3.63,21,3439,755.0,2535,INLAND,201900.0
3.04,12,4065,996.0,2579,<1H OCEAN,251300.0
3.7,13,237,47.0,130,INLAND,150100.0
3.65,39,1898,440.0,820,NEAR BAY,246700.0
5.37,23,4766,885.0,2595,INLAND,271000.0
3.17,50,4226,915.0,1998,<1H OCEAN,281400.0
3.12,46,3413,825.0,2676,INLAND,173400.0
2.41,43,1983,433.0,1360,<1H OCEAN,214400.0
5.57,28,2166,483.0,1515,NEAR OCEAN,323900.0
4.35,14,302,73.0,173,NEAR BAY,240000.0
7.68,17,241,55.0,107,INLAND,295800.0
7.13,24,3194,730.0,1618,NEAR BAY,363800.0
4.6,34,3418,755.0,1722,INLAND,208000.0
3.78,51,3190,715.0,1897,NEAR BAY,277100.0
4.02,48,4488,1060.0,2622,INLAND,215200.0
2.73,22,3569,887.0,2046,<1H OCEAN,244000.0
2.43,10,1261,297.0,754,<1H OCEAN,201900.0
2.21,8,2749,630.0,2184,INLAND,144500.0
3.59,21,1876,355.0,974,NEAR BAY,251300.0
0.56,37,3889,922.0,2512,<1H OCEAN,175100.0
9.23,7,4197,971.0,2080,NEAR BAY,446100.0
10.73,26,525,122.0,307,INLAND,391400.0
2.05,13,1320,258.0,633,INLAND,107400.0
10.63,16,307,,191,NEAR OCEAN,479300.0
2.07,30,2878,537.0,1456,NEAR BAY,215600.0
4.04,31,534,105.0,221,<1H OCEAN,276300.0
5.02,5,2239,506.0,1625,NEAR BAY,278800.0
4.25,32,1003,227.0,452,<1H OCEAN,295100.0
2.85,16,2048,413.0,1120,<1H OCEAN,200900.0
2.77,47,966,221.0,570,<1H OCEAN,230700.0
6.33,9,3727,772.0,2135,INLAND,259600.0
7.8,22,2506,451.0,1729,INLAND,334900.0
1.15,44,3029,579.0,1934,INLAND,85300.0
4.65,40,1688,408.0,874,NEAR BAY,253600.0
5.65,45,4329,846.0,1821,INLAND,280700.0
4.46,37,3766,,2662,NEAR OCEAN,305400.0
1.57,14,2573,586.0,1392,INLAND,119300.0
5.4,16,1036,218.0,783,<1H OCEAN,303500.0
7.22,43,3509,827.0,1958,INLAND,313100.0
2.39,20,3812,916.0,2619,INLAND,138700.0
2.83,44,2991,715.0,2320,INLAND,214200.0
4.51,15,4412,890.0,2913,NEAR BAY,291400.0
3.84,44,4183,900.0,2365,INLAND,221100.0
2.84,26,3968,894.0,2487,<1H OCEAN,253100.0
1.83,9,1704,345.0,1052,INLAND,108800.0
2.99,1,2650,484.0,1679,<1H OCEAN,233600.0
0.83,35,3244,696.0,1488,<1H OCEAN,170000.0
5.71,44,2233,403.0,1517,INLAND,232700.0
2.57,20,1899,468.0,869,<1H OCEAN,216300.0
6.23,45,2480,584.0,1006,INLAND,280200.0
3.5,6,1507,291.0,979,INLAND,157400.0
4.36,42,2727,545.0,1218,INLAND,224300.0
1.31,10,4038,1004.0,2859,NEAR BAY,180000.0
5.95,48,1175,242.0,877,<1H OCEAN,329700.0
14.19,33,2256,529.0,1754,NEAR OCEAN,500000.0
3.18,16,2626,554.0,1748,INLAND,155600.0
4.31,36,3874,931.0,2296,NEAR BAY,295200.0
4.63,6,2628,602.0,1421,INLAND,197600.0
1.66,19,3933,714.0,2345,<1H OCEAN,210800.0
1.99,31,559,112.0,266,INLAND,102600.0
5.47,2,2423,530.0,1306,INLAND,264900.0
2.39,18,684,167.0,470,<1H OCEAN,195400.0
3.48,42,1628,304.0,792,INLAND,156000.0
4.36,28,2280,506.0,1152,ISLAND,277800.0
5.58,4,895,180.0,626,INLAND,231100.0
3.59,1,4860,1177.0,2289,NEAR OCEAN,260700.0
3.65,47,401,93.0,199,INLAND,170000.0
12.95,42,4057,835.0,1651,NEAR BAY,500000.0
6.81,50,1398,267.0,961,<1H OCEAN,389300.0
3.23,16,1467,265.0,949,<1H OCEAN,222900.0
3.68,45,3170,708.0,2148,<1H OCEAN,274100.0
10.28,47,273,56.0,132,INLAND,402500.0
5.59,2,295,59.0,199,NEAR OCEAN,314700.0
7.31,36,4468,1112.0,2853,NEAR BAY,397000.0
3.18,1,3677,781.0,2009,NEAR BAY,249000.0
2.96,39,2402,558.0,1381,INLAND,163000.0
8.91,23,457,87.0,286,<1H OCEAN,409500.0
3.85,26,3858,698.0,2304,<1H OCEAN,299900.0
3.81,11,4625,967.0,3037,INLAND,215000.0
3.05,42,3006,681.0,1420,INLAND,195900.0
7.14,1,4456,960.0,2746,NEAR BAY,407700.0
4.49,11,385,93.0,223,INLAND,181700.0
1.91,24,342,71.0,199,INLAND,106600.0
2.84,10,3553,716.0,2088,<1H OCEAN,239900.0
8.0,14,839,204.0,631,<1H OCEAN,376800.0
4.56,14,3949,823.0,2872,NEAR OCEAN,281500.0
7.19,7,2274,452.0,1482,NEAR BAY,378400.0
5.05,23,4168,778.0,2861,INLAND,246400.0
2.09,43,401,94.0,167,INLAND,108600.0
5.37,22,3292,782.0,2296,<1H OCEAN,325500.0
3.9,36,3365,613.0,2000,INLAND,229700.0
2.89,27,3279,672.0,1728,NEAR OCEAN,209700.0
